object_id,name,cospar_id,object_class,mass_kg,shape,max_cross_section_m2,min_cross_section_m2,avg_cross_section_m2,diameter_m,height_m,width_m
1133,Cosmos-57 fragmentation debris,1965-012AM,Payload Fragmentation Debris,,,,,,,,
1009,Cosmos-50 fragmentation debris,1964-070X,Payload Fragmentation Debris,,,,,,,,
14230,Cosmos-1471 operational debris,1983-064D,Payload Mission Related Object,,,,,,,,
55,Sputnik 5,1960-011A,Payload,4549.06,Sphere + Cyl,,,,2.4,4.3,
5162,Proton-K operational debris,1971-032D,Rocket Mission Related Object,,,,,,,,
2756,Surveyor 3,1967-035A,Payload,1036.0,Irr + 1 Truss + 3 Leg + 1 Pan,,,,,2.9,2.2
4488,COSMOS A-2 (Cosmos 2I (11K63)),1970-059B,Rocket Body,840.0,Cyl,,,,1.6,8.0,
2672,Blok-I (Soyuz SL-4 (A-2)),1967-012B,Rocket Body,3000.0,Cyl,,,,2.66,9.4,
4487,Cosmos-356,1970-059A,Payload,353.82,Ell,,,,,2.1,1.3
4486,Star 37D (Delta M),1970-055B,Rocket Body,70.0,Sphere + Cone,,,,,1.0,0.9
16019,Cosmos-1678 operational debris,1985-077E,Payload Mission Related Object,,,,,,,,
16014,Cosmos-1662 sub-satellite 4,1985-050K,Payload,5.0,Sphere,,,,,0.2,0.2
1369,Blok-I (Molniya),1965-036C,Rocket Body,2900.0,Cyl,,,,2.66,9.4,
14647,Cosmos-1405 fragmentation debris,1982-088AA,Payload Fragmentation Debris,,,,,,,,
2914,Cosmos-172,1967-078A,Payload,5650.0,Sphere + Cyl + 1 DCone,,,,2.4,6.5,
2177,Thor Altair IA operational debris,1966-026D,Rocket Mission Related Object,,,,,,,,
2040,OPS 3031 (Bluebell 2S) fragmentation debris,1966-012U,Payload Fragmentation Debris,,,,,,,,
1724,Titan IIIC fragmentation debris (Transtage 4),1965-082CF,Rocket Fragmentation Debris,,,,,,,,
1723,Titan IIIC fragmentation debris (Transtage 4),1965-082CE,Rocket Fragmentation Debris,,,,,,,,
1722,Titan IIIC fragmentation debris (Transtage 4),1965-082CD,Rocket Fragmentation Debris,,,,,,,,
1715,Titan IIIC fragmentation debris (Transtage 4),1965-082BW,Rocket Fragmentation Debris,,,,,,,,
4032,Titan IIIC fragmentation debris (Transtage 4),1965-082SS,Rocket Fragmentation Debris,,,,,,,,
2282,Atlas SLV-3 Agena D fragmentation debris,1966-046AZ,Rocket Fragmentation Debris,,,,,,,,
1970,Titan IIIC fragmentation debris (Transtage 4),1965-082HC,Rocket Fragmentation Debris,,,,,,,,
4030,Cosmos-252 fragmentation debris,1968-097CD,Payload Fragmentation Debris,,,,,,,,
1908,Titan IIIC fragmentation debris (Transtage 4),1965-082FS,Rocket Fragmentation Debris,,,,,,,,
1909,Titan IIIC fragmentation debris (Transtage 4),1965-082FT,Rocket Fragmentation Debris,,,,,,,,
4205,Agena D debris,1969-082BU,Rocket Fragmentation Debris,,,,,,,,
4206,Agena D debris,1969-082BV,Rocket Fragmentation Debris,,,,,,,,
3008,Molniya 1-7,1967-101A,Payload,1650.0,Cyl + 6 Pan,,,,1.4,4.4,
2997,Westford needles,1963-014AU,Payload Mission Related Object,,,,,,,,
2964,R-36-O-2 (Tsyklon SL-10 (F-1r)),1967-091C,Rocket Body,5000.0,Cyl,,,,3.0,10.89,
2965,"Transit 17 (NNS 30140, OPS 4947)",1967-092A,Payload,50.8,Oct Cyl + 4 Pan + 1 Rod,,,,0.457,0.254,
4412,COSMOS A-2 (Cosmos 2I (11K63)),1970-043B,Rocket Body,840.0,Cyl,,,,1.6,8.0,
3704,Cosmos-252 fragmentation debris,1968-097AM,Payload Fragmentation Debris,,,,,,,,
3691,TACSAT 1,1969-013A,Payload,723.49,Cyl,,,,2.8,7.6,
3647,Cosmos-2I (11K63) operational debris,1968-117S,Rocket Mission Related Object,,,,,,,,
3624,Cosmos-261,1968-117A,Payload,343.9,Ell,,,,,2.1,1.5
3578,Cosmos-257,1968-107A,Payload,322.1,Poly,,,,,1.2,1.2
3211,Blok-I (Molniya-M Blok-ML),1968-035B,Rocket Body,2350.0,Cyl,,,,2.66,6.7,
3210,Molniya operational debris (jettisonable engine section (BOZ)),1968-035C,Rocket Mission Related Object,328.0,Cyl,,,,2.3,1.0,
4021,Titan IIIC fragmentation debris (Transtage 4),1965-082SU,Rocket Fragmentation Debris,,,,,,,,
4022,Delta N operational debris,1969-056C,Rocket Mission Related Object,,,,,,,,
3978,Titan IIIC fragmentation debris (Transtage 4),1965-082SE,Rocket Fragmentation Debris,,,,,,,,
3920,Cosmos-280 operational debris,1969-040D,Payload Mission Related Object,,,,,,,,
3935,Diamant A operational debris,1967-014H,Rocket Mission Related Object,20.81,,,,,,,
3845,CENTAUR D/E (Atlas SLV3C),1969-030B,Rocket Body,2000.0,Cyl,,,,3.1,8.6,
3837,Mariner 7,1969-030A,Payload,409.46,Hex Cyl + 4 Pan,,,,1.4,0.5,
5621,Cosmos-458,1971-101A,Payload,322.1,Ell,,,,,1.8,1.2
3783,Cosmos-252 fragmentation debris,1968-097AV,Payload Fragmentation Debris,,,,,,,,
5619,Agena D debris,1970-025LT,Rocket Fragmentation Debris,,,,,,,,
4038,Proton-K 8S812 (Proton-K/D),1969-058C,Rocket Body,4147.67,Cyl,,,,4.15,4.11,
3521,Cosmos-249 fragmentation debris,1968-091K,Payload Fragmentation Debris,,,,,,,,
3493,Titan IIIC fragmentation debris (Transtage 4),1965-082QP,Rocket Fragmentation Debris,,,,,,,,
3454,Titan IIIC fragmentation debris (Transtage 4),1965-082PP,Rocket Fragmentation Debris,,,,,,,,
4477,KH-4B (04477),1970-054A,Payload,1982.16,Cyl,,,,1.52,7.08,
4475,Agena D debris,1969-082FU,Rocket Fragmentation Debris,,,,,,,,
4476,Titan IIIC debris (Transtage 8),1965-108G,Rocket Fragmentation Debris,,,,,,,,
3282,Cosmos-226,1968-049A,Payload,1280.0,Cyl + 2 Pan,,,,1.4,4.5,
4469,Agena D debris,1969-082FN,Rocket Fragmentation Debris,,,,,,,,
13910,Proton-K/DM ullage motor (SOZ),1979-015E,Rocket Mission Related Object,55.5,Cyl,,,,0.6,1.1,
4471,Agena D debris,1969-082FQ,Rocket Fragmentation Debris,,,,,,,,
3250,Westford needles,1963-014BQ,Payload Mission Related Object,,,,,,,,
5035,Scout A operational debris,1970-067C,Rocket Mission Related Object,,,,,,,,
5986,Intelsat II F-2 operational debris,1967-001T,Payload Mission Related Object,397.4,,,,,,,
5964,Cosmos-252 fragmentation debris,1968-097DT,Payload Fragmentation Debris,,,,,,,,
14692,IRT fragmentation debris,1984-011G,Payload Fragmentation Debris,,,,,,,,
5930,Delta N operational debris,1972-014E,Rocket Mission Related Object,,,,,,,,
5931,Cosmos-484,1972-026A,Payload,5847.37,Sphere + Cyl,,,,2.4,5.89,
5912,Molniya operational debris (jettisonable engine section (BOZ)),1972-021C,Rocket Mission Related Object,350.0,Irr,,,,,1.0,2.3
5872,Cosmos-252 fragmentation debris,1968-097DN,Payload Fragmentation Debris,,,,,,,,
5897,Agena D debris,1969-082KB,Rocket Fragmentation Debris,,,,,,,,
5870,Cosmos-252 fragmentation debris,1968-097DL,Payload Fragmentation Debris,,,,,,,,
5842,Titan IIIC fragmentation debris (Transtage 4),1965-082TU,Rocket Fragmentation Debris,,,,,,,,
5816,Delta L operational debris,1972-005D,Rocket Mission Related Object,,,,,,,,
5778,Cosmos-436 debris,1971-074N,Payload Fragmentation Debris,,,,,,,,
5746,Thor Ablestar fragmentation debris,1961-015JX,Rocket Fragmentation Debris,,,,,,,,
5717,Titan IIIC fragmentation debris (Transtage 4),1965-082TP,Rocket Fragmentation Debris,,,,,,,,
5148,Agena D debris,1970-025JS,Rocket Fragmentation Debris,,,,,,,,
5154,Cosmos-397 fragmentation debris,1971-015AJ,Payload Fragmentation Debris,,,,,,,,
5130,Cosmos-397 fragmentation debris,1971-015AE,Payload Fragmentation Debris,,,,,,,,
5017,Cosmos-397 fragmentation debris,1971-015M,Payload Fragmentation Debris,,,,,,,,
5096,Cosmos-397 fragmentation debris,1971-015W,Payload Fragmentation Debris,,,,,,,,
4737,Agena D debris,1970-025CL,Rocket Fragmentation Debris,,,,,,,,
4747,OFO 1 operational debris,1970-094D,Payload Mission Related Object,,,,,,,,
4754,Agena D debris,1970-025DC,Rocket Fragmentation Debris,,,,,,,,
4725,Cosmos-375 fragmentation debris,1970-091W,Payload Fragmentation Debris,,,,,,,,
4665,Cosmos-375 fragmentation debris,1970-091S,Payload Fragmentation Debris,,,,,,,,
4631,Titan 3A-2 (Titan IIIC),1970-093C,Rocket Body,1883.05,Cyl,,,,3.1,7.9,
5448,Proton-K/D fourth stage casing,1971-073C,Rocket Mission Related Object,792.86,Cyl,,,,3.7,4.0,
4517,Cosmos-360 operational debris,1970-068D,Payload Mission Related Object,,,,,,,,
5422,Agena D debris,1970-025LC,Rocket Fragmentation Debris,,,,,,,,
5406,Blok-I (Soyuz 11A511L),1971-069B,Rocket Body,2378.59,Cyl,,,,2.66,6.7,
5523,Cosmos-374 fragmentation debris,1970-089CH,Payload Fragmentation Debris,,,,,,,,
5362,Cosmos-431,1971-065A,Payload,5649.16,Sphere + Cyl,,,,2.4,5.0,
5187,Cosmos-374 fragmentation debris,1970-089AZ,Payload Fragmentation Debris,,,,,,,,
5016,Cosmos-397 fragmentation debris,1971-015L,Payload Fragmentation Debris,,,,,,,,
5520,Agena D debris,1969-082JB,Rocket Fragmentation Debris,,,,,,,,
5518,Agena D debris,1969-082HZ,Rocket Fragmentation Debris,,,,,,,,
5519,Agena D debris,1969-082JA,Rocket Fragmentation Debris,1.0,,,,,,,
5005,Cosmos-396 operational debris,1971-014F,Payload Mission Related Object,20.0,,,,,,,
13958,Cosmos-1285 fragmentation debris,1981-071F,Payload Fragmentation Debris,,,,,,,,
5006,Shi Jian 1,1971-018A,Payload,219.03,Sphere,,,,,1.0,1.0
5007,Cosmos-398 operational debris (T2K lower section),1971-016C,Payload Mission Related Object,,Cyl,,,,2.0,5.4,
4981,Agena D debris,1970-025HC,Rocket Fragmentation Debris,,,,,,,,
4895,Agena D debris,1969-082HE,Rocket Fragmentation Debris,,,,,,,,
7356,Soyuz 11A511M operational debris,1974-049E,Rocket Mission Related Object,,,,,,,,
4890,Agena D debris,1969-082GZ,Rocket Fragmentation Debris,,,,,,,,
4818,Agena D debris,1970-025DZ,Rocket Fragmentation Debris,,,,,,,,
7355,Soyuz 11A511M operational debris,1974-049D,Rocket Mission Related Object,,,,,,,,
4791,Cosmos-384,1970-105A,Payload,5847.37,Sphere + Cyl,,,,2.4,5.89,
5524,Cosmos-397 fragmentation debris,1971-015BQ,Payload Fragmentation Debris,,,,,,,,
7344,Proton-K operational debris,1974-046E,Rocket Mission Related Object,,Cone,,,,0.4,1.0,
7202,Delta 300 fragmentation debris,1973-086FN,Rocket Fragmentation Debris,,,,,,,,
3579,COSMOS A-2 (Cosmos 2I (11K63)),1968-107B,Rocket Body,840.0,Cyl,,,,1.6,8.0,
7132,Delta 300 fragmentation debris,1973-086CY,Rocket Fragmentation Debris,,,,,,,,
7105,Voskhod operational debris,1974-004D,Rocket Mission Related Object,,,,,,,,
7091,Delta 300 fragmentation debris,1973-086CM,Rocket Fragmentation Debris,,,,,,,,
5036,Agena D debris,1970-025JC,Rocket Fragmentation Debris,,,,,,,,
6057,Cosmos-494,1972-043A,Payload,743.31,Cyl,,,,2.0,3.0,
6021,Cosmos-488 operational debris,1972-034D,Payload Mission Related Object,,,,,,,,
7380,Blok-ML (Molniya-M Blok-ML),1974-056D,Rocket Body,891.97,Cyl,,,,2.58,2.3,
13998,KH-8 (14001),1983-032A,Payload,2973.24,Cyl,,,,1.52,7.08,
6772,Skylab 1 debris (S-063 camera),1973-027V,Payload Debris,,,,,,,,
6719,Cosmos-576 op debris (Blenda - camera sunshade baffle),1973-044H,Payload Mission Related Object,,Box,,,,,1.0,0.4
6622,Cosmos-554 fragmentation debris,1973-021GM,Payload Fragmentation Debris,,,,,,,,
13992,Cosmos-1449 engine,1983-024G,Payload Mission Related Object,594.65,Cone,,,,,1.0,0.4
6264,Cosmos-531,1972-087D,Payload,39.64,Sphere,,,,,0.8,0.8
6268,Cosmos-535,1972-087H,Payload,39.64,Sphere,,,,,0.8,0.8
6272,Cosmos-536 debris,1972-088C,Payload Debris,,,,,,,,
6273,DMSP 5B-F3,1972-089A,Payload,508.42,Cone,,,,,2.1,0.8
6325,Blok-I (Soyuz 11A511M),1972-105B,Rocket Body,2378.59,Cyl,,,,2.66,6.7,
7075,Delta 300 fragmentation debris,1973-086BV,Rocket Fragmentation Debris,,,,,,,,
6298,Apollo 17,1972-096A,Payload,30069.38,Cone + Cyl,,,,3.91,11.14,
7034,Delta 300 fragmentation debris,1973-086AC,Rocket Fragmentation Debris,,,,,,,,
14000,SLV-3-4 (SLV3),1983-033B,Rocket Body,97.13,Cyl,,,,0.657,1.5,
11581,Cosmos-1112 sub-satellite 7,1979-063J,Payload,5.0,Sphere,,,,,0.2,0.2
8755,Cosmos-773 operational debris (yo-yo weights),1975-094D,Payload Mission Related Object,,,,,,,,
6996,Cosmos-582 debris,1973-060D,Payload Debris,,,,,,,,
10599,Cosmos-974 engine,1978-001D,Payload Mission Related Object,594.65,Cone,,,,,1.0,0.4
14011,Soyuz T-8,1983-035A,Payload,6788.9,Sphere + Cyl + 2 Pan,,,,2.2,7.2,
6945,Cosmos-605 operational debris (KB electropitaniya),1973-083C,Payload Mission Related Object,810.0,Cyl,,,,1.8,1.0,
6906,Vostok 8A92M-2 (Vostok SL-3 (A-1)),1973-080B,Rocket Body,1427.16,Cyl,,,,2.6,3.8,
6916,Molniya operational debris (jettisonable engine section (BOZ)),1973-084C,Rocket Mission Related Object,328.0,Cyl,,,,2.3,1.0,
6876,Blok-I (Molniya-M Blok-ML),1973-076B,Rocket Body,1982.16,Cyl,,,,2.66,6.7,
